Compiler, Number Functions, Time (seconds), Memory (KB)
OCaml (ocamlopt) [4.07.1], 20000, 50.57, 1538608
OCaml (ocamlopt -O2) [4.07.1], 20000, 49.37, 1538412
OCaml (ocamlopt) [4.07.1], 25000, ,
OCaml (ocamlopt -O2) [4.07.1], 25000, ,
Haskell (ghc) [1.9.1], 5000, 12.71, 954680
Haskell (ghc -O2) [1.9.1], 5000, 12.56, 1102952
Haskell (ghc) [1.9.1], 10000, 27.37, 1932928
Haskell (ghc -O2) [1.9.1], 10000, 26.95, 2149292
Haskell (ghc) [1.9.1], 15000, 54.24, 3071020
Haskell (ghc -O2) [1.9.1], 15000, 57.32, 3071544
Haskell (ghc) [1.9.1], 20000, 75.61, 4808548
Haskell (ghc -O2) [1.9.1], 20000, 75.75, 4432888
Haskell (ghc) [1.9.1], 25000, 117.03, 5717364
Haskell (ghc -O2) [1.9.1], 25000, 122.38, 5677444
Java (javac) [10.0.2], 5000, 1.6, 234816
Java (javac) [10.0.2], 10000, 2.05, 309152
Java (javac) [10.0.2], 15000, 2.6, 398400
Java (javac) [10.0.2], 20000, 3, 517576
Java (javac) [10.0.2], 25000, ,
Scala (scalac) [256M], 5000, 8.92, 546364
Scala (dotc) [768m], 5000, 9.02, 544556
Scala (scalac -opt:l:inline -opt-inline-from:**) [256M], 5000, 10.97, 765184
Scala (scalac) [256M], 10000, 12.44, 826960
Scala (dotc) [768m], 10000, 14.28, 925284
Scala (scalac -opt:l:inline -opt-inline-from:**) [256M], 10000, 17.96, 1118156
Scala (scalac) [256M], 15000, ,
Scala (dotc) [768m], 15000, 19.8, 1227828
Scala (scalac -opt:l:inline -opt-inline-from:**) [256M], 15000, ,
Scala (scalac) [256M], 20000, ,
Scala (dotc) [768m], 20000, 21.62, 1506704
Scala (scalac -opt:l:inline -opt-inline-from:**) [256M], 20000, ,
Scala (scalac) [256M], 25000, ,
Scala (dotc) [768m], 25000, ,
Scala (scalac -opt:l:inline -opt-inline-from:**) [256M], 25000, ,
Kotlin (kotlinc) [256M], 5000, 34.9, 3356192
Kotlin (kotlinc) [256M], 10000, 68.58, 4341480
Kotlin (kotlinc) [256M], 15000, 101.5, 4345632
Kotlin (kotlinc) [256M], 20000, 135.85, 4347920
Kotlin (kotlinc) [256M], 25000, ,
CSharp (dotnet) [2.1.403], 5000, 3.43, 99084
CSharp (dotnet -c release) [2.1.403], 5000, 2.4, 99428
CSharp (dotnet) [2.1.403], 10000, 4.15, 99864
CSharp (dotnet -c release) [2.1.403], 10000, 4.11, 99360
CSharp (dotnet) [2.1.403], 15000, 5.99, 99568
CSharp (dotnet -c release) [2.1.403], 15000, 5.57, 99588
CSharp (dotnet) [2.1.403], 20000, 7.82, 99544
CSharp (dotnet -c release) [2.1.403], 20000, 7, 99368
CSharp (dotnet) [2.1.403], 25000, 9.32, 99544
CSharp (dotnet -c release) [2.1.403], 25000, 9.34, 99696
FSharp (dotnet) [2.1.403], 5000, 14.11, 335692
FSharp (dotnet -c release) [2.1.403], 5000, 16.65, 412780
FSharp (dotnet) [2.1.403], 10000, 26.43, 606352
FSharp (dotnet -c release) [2.1.403], 10000, 31.29, 740752
FSharp (dotnet) [2.1.403], 15000, 38.83, 747796
FSharp (dotnet -c release) [2.1.403], 15000, 45.94, 975580
FSharp (dotnet) [2.1.403], 20000, 50.54, 1122564
FSharp (dotnet -c release) [2.1.403], 20000, 62.31, 1278984
FSharp (dotnet) [2.1.403], 25000, 64.19, 1261320
FSharp (dotnet -c release) [2.1.403], 25000, 77.41, 1436636
